date,temperature,wind_speed,wind_gust,wind_direction,uv_index,solar_irradiance,pressure,precipitation_rate,precipitation_accumulated,illuminance,humidity
2022-10-01 00:00:00+00:00,10.750450452162163,1.980155029833334,2.421351305972975,190.34684684684686,0.0,0.0,981.2690754099101,0.0,226.0600128000004,0.0,97.46396396396396
2022-10-01 01:00:00+00:00,10.656108721945696,2.2621593542850675,2.845384565452489,173.96380090497738,0.0,0.0,981.7919736846162,0.0,226.0600128000004,0.0,96.42081447963801
2022-10-01 02:00:00+00:00,10.98823530959276,2.573086071384615,3.2699999486018116,170.19004524886878,0.0,0.0,982.3785566085968,0.0,226.0600128000004,0.0,94.03167420814479
2022-10-01 03:00:00+00:00,10.899090991999998,2.9094164750909095,3.799499945309093,90.10454545454546,0.0,0.0,982.8582430768188,0.0,226.0600128000004,0.0,90.96363636363637
2022-10-01 04:00:00+00:00,10.763228766860985,2.1182691321255613,2.6780717030627867,153.73991031390133,0.0,0.0,983.8665842663669,0.0,226.0600128000004,0.0,90.02690582959642
2022-10-01 05:00:00+00:00,9.855855920211708,2.194531616342341,2.701621578599102,177.5,0.0,0.0,984.6470573360359,0.0,226.0600128000004,234.95495495495496,94.35135135135135
2022-10-01 06:00:00+00:00,9.817431117284414,2.782198274972476,3.476421976385321,148.77522935779817,0.0,0.0,985.5089646073402,0.0,226.0600128000004,19317.889908256882,94.1651376146789
2022-10-01 07:00:00+00:00,10.622374412739727,2.947108783776255,3.698082144484018,170.11415525114154,0.0,0.0,986.3272222949771,0.0,226.0600128000004,69528.3105022831,92.13698630136986
2022-10-01 08:00:00+00:00,11.721461165525117,3.2020622154885836,4.054383522981737,158.39269406392694,0.4977168949771689,0.0,986.9792472132414,0.0,226.0600128000004,145959.6803652968,87.6986301369863
2022-10-01 09:00:00+00:00,13.15852535700461,3.236619481870967,4.136405464811064,138.87557603686636,1.4377880184331797,0.0,987.6469180898612,0.0,226.0600128000004,268530.32258064515,81.15207373271889
2022-10-01 10:00:00+00:00,14.64770635577982,3.632396461486238,4.854357731545877,79.95412844036697,2.4128440366972477,0.0,988.2309626284402,0.0,226.0600128000004,379714.0366972477,73.93119266055047
2022-10-01 11:00:00+00:00,15.207142876651785,3.827487633205358,5.10683027244196,92.00446428571429,2.1339285714285716,0.0,988.965061185714,0.0,226.0600128000004,338650.53571428574,70.04464285714286
2022-10-01 12:00:00+00:00,15.612328760182647,3.8122448886118714,5.044109527424658,76.4337899543379,1.5981735159817352,0.0,989.4554894844745,0.0,226.0600128000004,277029.9543378995,64.58904109589041
2022-10-01 13:00:00+00:00,16.150226148914026,3.6404942490090497,4.802307617733033,67.72398190045249,2.072398190045249,0.0,989.9052571411763,0.0,226.0600128000004,330976.9683257919,61.67420814479638
2022-10-01 14:00:00+00:00,16.858370794841637,5.009504252434388,6.6646152923122175,63.248868778280546,2.16289592760181,0.0,990.172846038915,0.0,226.0600128000004,345574.70588235295,57.89140271493213
2022-10-01 15:00:00+00:00,16.44215245955157,4.139793871793721,5.342421424914796,68.74887892376681,1.0493273542600896,0.0,990.6750863269057,0.0,226.0600128000004,210228.8789237668,59.44394618834081
2022-10-01 16:00:00+00:00,15.001339205982145,2.386250098995535,3.107812452549109,70.50446428571429,0.0,0.0,991.3837964178567,0.0,226.0600128000004,51952.544642857145,66.15625
2022-10-01 17:00:00+00:00,14.03198194945946,2.9461550616396397,3.875540489644143,114.33783783783784,0.0,0.0,992.0401553612609,0.0,226.0600128000004,10097.837837837838,74.30630630630631
2022-10-01 18:00:00+00:00,13.593273615874436,3.3990494601524675,4.5373990238161435,95.2152466367713,0.0,0.0,992.7604843623321,0.0,226.0600128000004,32.152466367713004,76.81165919282512
2022-10-01 19:00:00+00:00,13.315207445944699,2.778400103129033,3.692211930207375,115.53456221198157,0.0,0.0,993.5301527732719,0.0,226.0600128000004,0.0,78.40552995391705
2022-10-01 20:00:00+00:00,12.761363645000001,2.2402419036499985,2.846727222727275,150.6,0.0,0.0,994.2827828159094,0.0,226.0600128000004,0.0,81.39545454545454
2022-10-01 21:00:00+00:00,12.004054048063063,1.6761406031576558,2.0009459105675704,215.3783783783784,0.0,0.0,995.0472860229727,0.0,226.0600128000004,0.0,84.67117117117117
2022-10-01 22:00:00+00:00,11.165128072615389,2.1578954690923076,2.6415384120769256,189.7948717948718,0.0,0.0,995.6343571605132,0.0,226.0600128000004,0.0,88.47179487179487
2022-10-01 23:00:00+00:00,11.011312161312219,2.317817281583711,2.8523076421764695,173.42533936651583,0.0,0.0,996.2570480425337,0.0,226.0600128000004,0.0,91.41176470588235
2022-10-02 00:00:00+00:00,10.80930227255814,2.6284187117813946,3.37074413635814,141.54883720930232,0.0,0.0,996.9102280725591,0.0,226.0600128000004,0.0,91.69302325581396
2022-10-02 01:00:00+00:00,10.320642187018347,1.8696679546605504,2.397935736018352,118.70642201834862,0.0,0.0,997.5015166389904,0.0,226.0600128000004,0.0,91.31192660550458
2022-10-02 02:00:00+00:00,10.354794437260276,2.103145279296803,2.6687670766027387,144.34703196347033,0.0,0.0,997.8630017136992,0.0,226.0600128000004,0.0,89.63470319634703
2022-10-02 03:00:00+00:00,10.289140308461537,1.8582751822533934,2.3723076521764748,116.22171945701358,0.0,0.0,998.194954024435,0.0,226.0600128000004,0.0,89.80995475113122
2022-10-02 04:00:00+00:00,10.116666810450448,1.911113584072072,2.4764864422342368,88.65315315315316,0.0,0.0,998.8652222792797,0.0,226.0600128000004,0.0,89.64414414414415
